endpoint,model,subset_key,subset_modalities,n_modalities,fold,threshold,weighted_f1,auc,acc,n_train,n_val
rec,et,clinical,clinical,1,0,0.21,1.0,1.0,1.0,335,84
rec,lgbm,clinical,clinical,1,0,0.01,1.0,1.0,1.0,335,84
rec,rf,clinical,clinical,1,0,0.21,1.0,1.0,1.0,335,84
rec,voting,clinical,clinical,1,0,0.12,1.0,1.0,1.0,335,84
rec,xgb,clinical,clinical,1,0,0.06,1.0,1.0,1.0,335,84
rec,et,clinical,clinical,1,1,0.06,0.9536707056307911,0.9931972789115646,0.9523809523809524,335,84
rec,lgbm,clinical,clinical,1,1,0.12,0.9639907816401,0.9841269841269842,0.9642857142857144,335,84
rec,rf,clinical,clinical,1,1,0.5800000000000001,0.9639907816401,0.9924414210128496,0.9642857142857144,335,84
rec,voting,clinical,clinical,1,1,0.47,0.9639907816401,0.9931972789115646,0.9642857142857144,335,84
rec,xgb,clinical,clinical,1,1,0.55,0.9639907816401,0.9901738473167044,0.9642857142857144,335,84
rec,et,clinical,clinical,1,2,0.31,1.0,1.0,1.0,335,84
rec,lgbm,clinical,clinical,1,2,0.04,1.0,1.0,1.0,335,84
rec,rf,clinical,clinical,1,2,0.26,1.0,1.0,1.0,335,84
rec,voting,clinical,clinical,1,2,0.17,1.0,1.0,1.0,335,84
rec,xgb,clinical,clinical,1,2,0.23,1.0,1.0,1.0,335,84
rec,et,clinical,clinical,1,3,0.26,0.9761904761904762,0.995601173020528,0.9761904761904762,335,84
rec,lgbm,clinical,clinical,1,3,0.59,0.9880044296788482,0.998533724340176,0.988095238095238,335,84
rec,rf,clinical,clinical,1,3,0.63,0.9880044296788482,0.998533724340176,0.988095238095238,335,84
rec,voting,clinical,clinical,1,3,0.68,0.9880044296788482,0.998533724340176,0.988095238095238,335,84
rec,xgb,clinical,clinical,1,3,0.03,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,et,clinical,clinical,1,4,0.48,0.9635592124595944,0.988479262672811,0.963855421686747,336,83
rec,lgbm,clinical,clinical,1,4,0.97,0.9628921500660425,0.978494623655914,0.963855421686747,336,83
rec,rf,clinical,clinical,1,4,0.73,0.9628921500660425,0.9877112135176652,0.963855421686747,336,83
rec,voting,clinical,clinical,1,4,0.81,0.9628921500660425,0.9869431643625192,0.963855421686747,336,83
rec,xgb,clinical,clinical,1,4,0.78,0.9628921500660425,0.9746543778801844,0.963855421686747,336,83
rec,et,clinical+pathological,clinical+pathological,2,0,0.18,1.0,1.0,1.0,335,84
