endpoint,model,subset_key,n_modalities,mean_weighted_f1,std_weighted_f1,mean_auc,std_auc,mean_acc,std_acc,mean_threshold,n_folds
rec,et,clinical+semantic+temporal+pathological+spatial,5,0.9810468695538468,0.02134316314478114,0.9954743839536466,0.004257379674595272,0.9808663224325874,0.021709672425721617,0.35,5
rec,et,clinical+semantic+pathological+spatial,4,0.980615411790837,0.018445154439707838,0.9956255555333897,0.004099712288330274,0.9808663224325874,0.01815451791767182,0.414,5
rec,et,clinical+semantic+temporal+pathological,4,0.980615411790837,0.018445154439707838,0.9953207741226174,0.004444070327988194,0.9808663224325874,0.01815451791767182,0.42000000000000004,5
rec,et,clinical+temporal+pathological+spatial,4,0.980615411790837,0.018445154439707838,0.9957791653644188,0.003919319795637338,0.9808663224325874,0.01815451791767182,0.41600000000000004,5
rec,et,clinical+semantic+temporal+spatial,4,0.9784261282062046,0.021419841245156213,0.995158076264067,0.004959204682344697,0.978485370051635,0.021368792388369126,0.346,5
rec,et,semantic+temporal+pathological+spatial,4,0.7660299494886179,0.036091310430399946,0.6860251627532733,0.08918402990116497,0.7851118760757315,0.024949839393677672,0.34199999999999997,5
rec,et,clinical+temporal+pathological,3,0.980615411790837,0.018445154439707838,0.9957652008343253,0.004235554978750129,0.9808663224325874,0.01815451791767182,0.414,5
rec,et,clinical+pathological+spatial,3,0.9786840788561724,0.021032031917415126,0.995460419423553,0.004613393457419533,0.978485370051635,0.021368792388369126,0.296,5
rec,et,clinical+temporal+spatial,3,0.9786840788561724,0.021032031917415126,0.9951531997614946,0.005092876528215207,0.978485370051635,0.021368792388369126,0.298,5
rec,et,clinical+semantic+pathological,3,0.9784261282062046,0.021419841245156213,0.9953183358713312,0.004517595225999576,0.978485370051635,0.021368792388369126,0.32999999999999996,5
rec,et,clinical+semantic+spatial,3,0.9784261282062046,0.021419841245156213,0.9944018858765402,0.005720954998002436,0.978485370051635,0.021368792388369126,0.32399999999999995,5
rec,et,clinical+semantic+temporal,3,0.9784261282062046,0.021419841245156213,0.9948484183507226,0.005475861394270994,0.978485370051635,0.021368792388369126,0.32999999999999996,5
rec,et,semantic+temporal+pathological,3,0.7684661513966264,0.03701383507264566,0.6655055049064266,0.1001617569719214,0.7899311531841653,0.01671218885222808,0.36,5
rec,et,semantic+pathological+spatial,3,0.7684607469171659,0.022647823184786437,0.688350921991475,0.06763195441545433,0.7876362593230063,0.020735956652235907,0.344,5
rec,et,temporal+pathological+spatial,3,0.7623297471426489,0.05058631937615976,0.6807860257169013,0.09796109771946633,0.7804073436603557,0.04354467558674987,0.356,5
rec,et,semantic+temporal+spatial,3,0.68822316722102,0.02523604575084699,0.5531241757048209,0.09909042955869853,0.7326735513482502,0.02496735495282597,0.33799999999999997,5
rec,et,clinical+pathological,2,0.9810468695538468,0.02134316314478114,0.9959142666515939,0.0041975854002633635,0.9808663224325874,0.021709672425721617,0.354,5
rec,et,clinical+semantic,2,0.980615411790837,0.018445154439707838,0.9948505241131969,0.005508280730638809,0.9808663224325874,0.01815451791767182,0.398,5
rec,et,clinical+spatial,2,0.9784261282062046,0.021419841245156213,0.9953162301088568,0.004578873687867567,0.978485370051635,0.021368792388369126,0.302,5
rec,et,clinical+temporal,2,0.9784261282062046,0.021419841245156213,0.9951510939990202,0.0051973889932865796,0.978485370051635,0.021368792388369126,0.324,5
rec,et,pathological+spatial,2,0.7806567277661675,0.040045967227494345,0.7051891528850054,0.05968203384501603,0.7995123350545038,0.02722229425076457,0.364,5
rec,et,semantic+pathological,2,0.771234638620807,0.029365486707536855,0.6927718040621267,0.06902478802411081,0.7875502008032129,0.026211652352788672,0.35,5
rec,et,temporal+pathological,2,0.7627833320469197,0.05200149709235117,0.6681276225055027,0.09217741688123268,0.7851692484222605,0.04058971877618446,0.394,5
rec,et,semantic+temporal,2,0.695519213183904,0.03578611131986937,0.5169571510585336,0.07493677888499778,0.7421686746987952,0.03073114677175701,0.358,5
rec,et,temporal+spatial,2,0.685202756459506,0.03341181019098602,0.5513460255395739,0.09142709648467336,0.7159495123350544,0.028913791443338683,0.33599999999999997,5
rec,et,semantic+spatial,2,0.6532279235662196,0.021103957889475146,0.5220216206391322,0.03949747018519661,0.7303212851405623,0.017795661279400302,0.32199999999999995,5
rec,et,clinical,1,0.9786840788561724,0.021032031917415126,0.9954555429209808,0.004875798161563332,0.978485370051635,0.021368792388369126,0.26399999999999996,5
rec,et,pathological,1,0.7645294101278537,0.04271366592012069,0.6854781078283383,0.06413296651390177,0.7852266207687894,0.04358830753716182,0.40199999999999997,5
